DHCP = 1 s;;;;;;
PacketsSendInterval (s);last_UDP;first_DHCP;last_DHCP;first_LISP;last_LISP;first_UDP
0.01;26.161697;26.167970;27.173184;27.179019;27.208268;27.234728
0.02;25.741612;25.744635;26.750271;26.755927;26.785250;26.824728
0.03;25.471063;25.473720;26.479096;26.484697;26.514499;26.554727
0.04;25.863084;25.865983;26.871413;26.877068;26.906644;26.944728
0.05;24.863841;24.865517;25.870911;25.876468;25.905773;25.974728
0.06;24.839087;24.863136;25.867998;25.873681;25.903777;25.984727
0.07;25.231060;25.262178;26.267873;26.273754;26.303195;26.364728
0.08;25.660402;25.662959;26.669746;26.675329;26.704860;26.785228
0.09;25.671060;25.672501;26.677940;26.683649;26.713270;26.764727
0.1;25.607802;25.662205;26.667855;26.673483;26.703670;26.824728
0.2;24.820015;24.862196;25.867747;25.873375;25.902879;26.024728
0.3;25.309928;25.462151;26.467131;26.472696;26.503742;26.824728
0.4;25.022049;25.062223;26.067846;26.073573;26.103023;26.224728
0.5;24.520087;24.862160;25.867123;25.872733;25.902066;26.024728
0.6;24.416378;24.862151;25.867140;25.872768;25.902209;26.224728
0.7;24.820986;25.262160;26.267653;26.273281;26.302695;26.924728
0.8;24.213814;24.862124;25.867653;25.873219;25.902732;26.624728
0.9;24.415488;25.062196;26.067819;26.073528;26.103023;26.224728
1.0;25.020447;25.862124;26.867653;26.873308;26.902713;27.024728
2.0;25.016775;25.662187;26.667765;26.673420;26.702879;27.024728
3.0;25.018359;25.262169;26.267801;26.273492;26.303077;28.024728
;;;;;;
PacketsSendInterval = 0.01 s;;;;;;
DHCP (s);;;;;;
0.0;26.161697;26.167970;26.174323;26.183366;26.214562;26.244728
0.1;26.161697;26.167970;26.273184;26.279019;26.308269;26.334728
0.3;26.161697;26.167970;26.473184;26.479019;26.508269;26.534728
0.5;26.161697;26.167970;26.673184;26.679019;26.708269;26.734728
1.0;26.161697;26.167970;27.173184;27.179019;27.208268;27.234728
1.5;25.570286;25.576503;27.081196;27.086842;27.116058;27.144228
2.0;26.173139;26.179383;28.184066;28.189892;28.219223;28.244727
