DHCP = 1 s;;;;;;
PacketsSendInterval (s);last_UDP;first_DHCP;last_DHCP;first_LISP;last_LISP;first_UDP
0.01;;;;;;
0.02;25.064548;25.068019;26.073422;26.079149;26.334627;26.364897
0.03;25.739510;25.745243;26.750772;26.756509;27.009186;27.054896
0.04;25.739340;25.743575;26.749225;26.754988;27.007621;27.064897
0.05;25.316496;25.343548;26.349405;26.354324;26.606885;26.675397
0.06;25.908776;25.943710;26.948855;26.955665;27.212796;27.265396
0.07;25.941833;25.944732;26.949722;26.955539;27.208064;27.264897
0.08;24.937117;24.943665;25.949207;25.954988;26.207567;26.264897
0.09;25.501103;25.543629;26.549189;26.554961;26.807513;26.874896
0.1;25.309296;25.343638;26.349180;26.354916;26.607315;26.724897
0.2;25.216055;25.343422;26.349023;26.354768;26.607248;26.824897
0.3;25.623749;25.743665;26.749270;26.755024;27.007513;27.324897
0.4;25.420285;25.543413;26.549023;26.554239;26.806719;27.034897
0.5;24.514255;24.943647;25.949252;25.955060;26.207630;26.524897
0.6;25.614569;25.943458;26.949023;26.954732;27.207068;27.424897
0.7;25.519312;25.943746;26.950389;26.956116;27.208497;27.625397
0.8;25.019916;25.743647;26.749225;26.755087;27.007486;27.424897
0.9;25.320024;25.943701;26.948828;26.955584;27.208037;28.025397
1.0;25.019313;25.743620;26.749369;26.754387;27.006813;28.025397
2.0;25.020780;25.743611;26.749225;26.754979;27.007396;29.024897
3.0;25.021473;25.743683;26.749279;26.755123;27.007540;28.024897
;;;;;;
PacketsSendInterval = 0.02 s;;;;;;
DHCP (s);;;;;;
0.0;25.058018;25.061533;25.068067;25.073758;25.326211;25.364897
0.1;25.058018;25.061533;25.166964;25.172709;25.425189;25.464897
0.3;25.058018;25.061533;25.366964;25.372709;25.625189;25.664897
0.5;25.058018;25.061533;25.566964;25.572709;25.825189;25.864897
1.0;25.064548;25.068019;26.073422;26.079149;26.334627;26.364897
1.5;25.755451;25.756989;27.262419;27.268254;27.523260;27.564897
2.0;24.950013;24.951551;26.957044;26.964195;27.216583;27.244897
