DHCP = 1 s;;;;;;
PacketsSendInterval (s);last_UDP;first_DHCP;last_DHCP;first_LISP;last_LISP;first_UDP
0.01;26.366971;26.373177;27.376330;;;27.434650
0.02;25.514052;25.517099;26.520656;;;26.594556
0.03;25.859924;25.862962;26.866268;;;26.954573
0.04;25.455974;25.462196;26.465619;;;26.554574
0.05;24.854967;24.862241;25.865673;;;25.984619
0.06;25.433156;25.462169;26.465601;;;26.594573
0.07;25.661950;25.664737;26.668043;;;26.794574
0.08;25.820870;25.862241;26.865673;;;27.034637
0.09;25.856873;25.863071;26.866376;;;27.044645
0.1;24.815146;24.862250;25.865682;;;26.034574
0.2;25.012455;25.062241;26.065627;;;26.434637
0.3;25.313828;25.462178;26.465610;;;26.834574
0.4;24.616532;24.862151;25.865376;;;26.634682
0.5;24.514606;24.862196;25.865601;;;26.534574
0.6;25.618835;25.862232;26.865664;;;28.034574
0.7;25.520113;25.662205;26.665637;;;27.634574
0.8;25.017324;25.662151;26.665376;;;28.234601
0.9;24.412956;25.062151;26.065375;;;27.134709
1.0;24.016802;24.862205;25.865637;;;27.035052
2.0;25.017045;25.262187;26.265646;;;29.034592
3.0;22.008830;24.862232;25.865664;;;31.034139
;;;;;;
PacketsSendInterval = 0.01 s;;;;;;
DHCP (s);;;;;;
0.0;26.359045;26.365173;26.368360;;;26.423986
0.1;26.366230;26.372359;26.475511;;;26.534058
0.3;26.366230;26.372359;26.675511;;;26.734058
0.5;26.366230;26.372359;26.875511;;;26.934058
1.0;26.366971;26.373177;27.376330;;;27.434650
1.5;26.175051;26.181248;27.684320;;;27.744139
2.0;25.360947;25.367112;27.370184;;;27.434094
